Requirement ID,Type,Category,Requirement,Priority (MoSCoW),Source
FR-01,Functional,Order Management,Staff must be able to create an order linked to a specific table and add menu items to that order.,Must-Have,Focus Group — FOH; Stakeholder — Shane Breslin
FR-02,Functional,Order Management,Staff must be able to mark an order as completed. This action must be blocked if the required number of allergen consents have not been recorded.,Must-Have,Focus Group — All roles; Stakeholder — Damian
FR-03,Functional,Order Management,Authorised staff (manager / owner / admin) must be able to void an active order. Every void must be recorded with a timestamp.,Must-Have,Stakeholder — Shane Breslin
FR-04,Functional,Order Management,The system must track course progression status per order (Not Started / Starters Served / Mains Served / Desserts Served).,Should-Have,Stakeholder — Damian; FOH Staff
FR-05,Functional,Order Management,The system must calculate an order total cost and apply a discount to produce a final price.,Should-Have,Stakeholder — Shane Breslin
FR-06,Functional,Table Management,Staff must be able to view a real-time list of all tables showing current status: Available / Occupied / Reserved.,Must-Have,Focus Group — FOH; Stakeholder — FOH Staff; Stakeholder — Shane Breslin
FR-07,Functional,Table Management,Staff must be able to seat walk-in customers at an available table without requiring a prior booking.,Must-Have,Focus Group — FOH
FR-08,Functional,Table Management,Staff must be able to set the number of customers currently seated at a table.,Must-Have,Stakeholder — Shane Breslin
FR-09,Functional,Table Management,Management must be able to add / edit / deactivate tables. A table must not be deletable while it has active orders.,Should-Have,Stakeholder — Shane Breslin
FR-10,Functional,Booking Management,Any user (including anonymous users) must be able to create a booking via a public form.,Must-Have,Stakeholder — FOH Staff
FR-11,Functional,Booking Management,The booking form must capture a self-declared allergen flag (HasAllergen). If ticked the system must surface an allergen warning at the point of seating.,Must-Have,Focus Group — All roles; Stakeholder — Damian; Stakeholder — FOH Staff
FR-12,Functional,Booking Management,Staff must be able to transition a booking from Booked to Seated. This action must mark the linked table as occupied and trigger an allergen check.,Must-Have,Stakeholder — FOH Staff; Stakeholder — Shane Breslin
FR-13,Functional,Booking Management,Staff must be able to edit and cancel bookings. Cancelled bookings must be moved to a separate completed/cancelled view.,Should-Have,Stakeholder — Shane Breslin
FR-14,Functional,Allergen Management,Staff must be able to record a formal allergen consent against an active order. The record must capture customer name / email / phone / the specific menu items covered / and a ConsentGiven flag.,Must-Have,Focus Group — All roles; Stakeholder — Shane Breslin
FR-15,Functional,Allergen Management,The system must enforce that the number of allergen consents recorded against an order meets the required count before MarkCompleted is permitted.,Must-Have,Stakeholder — Damian; Stakeholder — Shane Breslin
FR-16,Functional,Allergen Management,Allergen consents must be viewable in a list and individually by order.,Must-Have,Stakeholder — Shane Breslin
FR-17,Functional,Menu Management,Management must be able to create / edit / deactivate and delete menus. An active menu must not be deletable.,Must-Have,Stakeholder — Shane Breslin
FR-18,Functional,Menu Management,Management must be able to add and remove menu items within a menu. Each item must support name / price / type / description / photo URL.,Must-Have,Stakeholder — Shane Breslin
FR-19,Functional,Ingredient Management,Management must be able to create and edit ingredients. Each ingredient must carry an allergen flag and an allergen information description.,Must-Have,Focus Group — Kitchen; FOH; Bar
FR-20,Functional,Ingredient Management,Ingredients must be linkable to menu items. The allergen status of linked ingredients must be visible on the menu item detail view.,Must-Have,Focus Group — Kitchen; FOH; Bar
FR-21,Functional,User Management,Admin and owner roles must be able to create / edit and delete user accounts and assign roles.,Must-Have,Stakeholder — Shane Breslin
FR-22,Functional,User Management,Users must not be able to self-assign a privileged role at registration. New registrations must default to the guest role.,Must-Have,Security — OWASP A01 Broken Access Control
FR-23,Functional,User Management,A user must not be able to change their own role.,Must-Have,Stakeholder — Shane Breslin
FR-24,Functional,Reviews,Authenticated users must be able to submit a star rating (1–5) and comment against a completed order.,Could-Have,Stakeholder — Shane Breslin
FR-25,Functional,Reviews,Staff and management must be able to view all submitted reviews.,Could-Have,Stakeholder — Shane Breslin
FR-26,Functional,Booking Management,"The booking form must validate: customer name (minimum 3 characters), email format (requires TLD), phone number (Irish/UK format), booking date/time (must not be in the past), guest count (must not exceed table capacity).",Must-Have,Security / Data Quality
NFR-01,Non-Functional,Usability,A new staff member must be able to complete all common tasks (create booking / create order / record allergen consent) after a single shift of onboarding. The interface must be consistent across all functional areas.,Must-Have,Focus Group — All roles; Stakeholder — Shane Breslin
NFR-02,Non-Functional,Usability,Common tasks must be completable in the minimum number of steps. No common task should require navigation through more than two pages.,Must-Have,Focus Group — FOH; Bar
NFR-03,Non-Functional,Usability,Role-based navigation must show only the functions relevant to the logged-in user's role. Functions outside a role's permissions must not be visible in the navigation bar.,Must-Have,Focus Group — Management
NFR-04,Non-Functional,Performance,Search and filter operations (menu item search / table list refresh) must update without a full page reload to minimise disruption during live service.,Should-Have,Focus Group — FOH
NFR-06,Non-Functional,Security,All management and staff routes must be protected by role-based authorisation. Unauthenticated requests to protected routes must be redirected to the login page.,Must-Have,Security — OWASP A01 Broken Access Control
NFR-08,Non-Functional,Reliability,All allergen consent records must be persisted to the database and must not be deletable without management authorisation. The audit trail must be intact for the lifetime of the associated order.,Must-Have,Stakeholder — Shane Breslin; Regulatory
NFR-09,Non-Functional,Data Retention,The system must support configurable data retention policies for consent records to allow compliance with applicable data protection requirements.,Could-Have,Focus Group — Management
NFR-11,Non-Functional,Learnability,The system must present a consistent CRUD interface across all entities so that a user who learns one area (e.g. Menu) can navigate any other area (e.g. Bookings) without additional training.,Must-Have,Stakeholder — Shane Breslin; Focus Group
