Question Number,Role,Interviewee,Question,Response
O,All Roles,All,"Opening — Describe a typical service period from your perspective — what does the first hour look like?",
K1,Kitchen Staff,Damian — Head Chef,"When a ticket arrives at the pass, what information do you expect to see on it as standard?",
K2,Kitchen Staff,Damian — Head Chef,How is allergy information currently presented on a ticket? Is it structured or freehand?,
K3,Kitchen Staff,Damian — Head Chef,What is the most common reason a dish has to be held returned or remade during service?,
K4,Kitchen Staff,Damian — Head Chef,"If a system were to flag allergen items visually on the ticket, what would that flag need to show? (ingredient name / severity / customer name)",
K5,Kitchen Staff,Damian — Head Chef,At what point during preparation is an amendment hardest to action — starter / main / dessert?,
K6,Kitchen Staff,Damian — Head Chef,Are there dishes on the current menu where allergen information is ambiguous or incomplete?,
K7,Kitchen Staff,Damian — Head Chef,What would you need to see on a digital ticket that you do not currently see on a paper one?,
K8,Kitchen Staff,Damian — Head Chef,The system will not require any input from kitchen staff directly — all information arrives with the ticket. Does that satisfy your concern about screen use during service?,
F1,Floor Staff,FOH Staff Member (anonymised),"Walk me through taking a booking — from the customer call to the booking being confirmed. Where are the friction points?",
F2,Floor Staff,FOH Staff Member (anonymised),"When you seat a customer with a booking, what information from that booking do you need to know before they sit down?",
F3,Floor Staff,FOH Staff Member (anonymised),How do you currently know which menu items contain specific allergens when a customer asks?,
F4,Floor Staff,FOH Staff Member (anonymised),"If a customer declares an allergy that was not on their booking, what is your current process?",
F5,Floor Staff,FOH Staff Member (anonymised),Describe the last time a table handover between staff members caused a problem. What went wrong?,
F6,Floor Staff,FOH Staff Member (anonymised),What does managing a section of six tables look like during a full service? What information are you constantly trying to track?,
F7,Floor Staff,FOH Staff Member (anonymised),If you had one screen visible to you at all times during service what would you want it to show?,
F8,Floor Staff,FOH Staff Member (anonymised),When an order is completed and the table is cleared what is the current process for marking it as available?,
B1,Bar Staff,Bar Staff Member (anonymised),How are bar orders currently received? Are they entered the same way as kitchen orders?,
B2,Bar Staff,Bar Staff Member (anonymised),"Are drinks items on the current menu flagged for allergens (e.g. dairy in cocktails / sulphites in wine)?",
B3,Bar Staff,Bar Staff Member (anonymised),"When a customer asks whether a drink contains a specific allergen, what is your current process for checking?",
B4,Bar Staff,Bar Staff Member (anonymised),Are there situations where a drink order is amended after it has been made? How is that communicated?,
B5,Bar Staff,Bar Staff Member (anonymised),Do bar staff currently have a view of which tables are occupied or waiting? Is that relevant to your role?,
B6,Bar Staff,Bar Staff Member (anonymised),If the ordering system unified bar and kitchen orders — same interface same process — would that create any problems on the bar side?,
B7,Bar Staff,Bar Staff Member (anonymised),What is the busiest single task on the bar during service that a new system should not make slower?,
M1,Management / Front of House,Shane Breslin — Owner/Manager,What does the floor look like from a management perspective at peak service — what are you monitoring?,
M2,Management / Front of House,Shane Breslin — Owner/Manager,How do you currently assess whether service is running well or falling behind? What signals do you look for?,
M3,Management / Front of House,Shane Breslin — Owner/Manager,"When a staff member makes a mistake — wrong order / allergen missed / table double-seated — what is the current recovery process?",
M4,Management / Front of House,Shane Breslin — Owner/Manager,For management reporting — what information about a completed service do you want to be able to review afterwards?,
M5,Management / Front of House,Shane Breslin — Owner/Manager,"Role-based access is planned — admin / owner / manager / staff / guest. What should each role be able to do and not do?",
M6,Management / Front of House,Shane Breslin — Owner/Manager,"Voiding an order carries financial and operational implications. Who should be authorised to void, and should there be a record of every void?",
M7,Management / Front of House,Shane Breslin — Owner/Manager,"If a customer makes a complaint about an allergen incident after the fact, what records would you want to be able to produce?",
M8,Management / Front of House,Shane Breslin — Owner/Manager,What is the longest a new system could take to learn before it starts costing you staff time rather than saving it?,
M9,Management / Front of House,Shane Breslin — Owner/Manager,"Are there functions that exist in the current setup that must not be lost in a new system, even if everything else changes?",
